indicator_id,indicator_name,needs_assessment_domain,source_name,source_agency,api_or_download,geography_name,geography_type,state_fips,county_fips,year_or_period,estimate,moe,numerator,denominator,units,stratification,comparison_available,data_quality_note,source_url_or_endpoint,source_citation_id,source_citation_text,retrieved_at
POP_TOTAL,Total population,Service Area and Population,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,56088.0,-555555555.0,,,people,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.623706+00:00
POP_AGE_UNDER_18,Population under age 18,Demographics,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,10054.0,-555555555.0,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.623858+00:00
POP_AGE_65_PLUS,Population age 65 and older,Demographics,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,11192.0,24.0,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.623924+00:00
HISPANIC_LATINX,Hispanic or Latinx population,Demographics,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,4573.0,194.0,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.623988+00:00
POVERTY_RATE,Population below poverty level,Economic Stability,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,12.4,1.3,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.624069+00:00
MEDIAN_HOUSEHOLD_INCOME,Median household income,Economic Stability,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,85296.0,3572.0,,,dollars,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.624130+00:00
UNINSURED_RATE,Uninsured rate,Insurance Coverage,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,9.5,1.2,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.624200+00:00
MEDICAID_COVERAGE,Medicaid coverage,Insurance Coverage,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,90.5,1.2,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.624314+00:00
NO_VEHICLE,Households with no vehicle available,Transportation,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,2.1,0.6,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.624395+00:00
SNAP_HOUSEHOLDS,Households receiving SNAP,Food/Nutrition,ACS 5-year Data Profile,U.S. Census Bureau,API,"La Plata County, Colorado",County,08,067,2023,7.3,1.2,,,percent,Total,Yes,ACS 5-year period estimate; review margins of error.,https://api.census.gov/data/2023/acs/acs5/profile,CENSUS_ACS_API,U.S. Census ACS API: American Community Survey API. U.S. Census Bureau. Ongoing. https://api.census.gov/data.html.,2026-06-11T15:07:29.624423+00:00
